artifact,role,status,sha256,bytes,source,can_recompute
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed2/manifest.json,forward manifest,validated_input,1cc7246bbaee2bf8d27ace477961bf2190e4c33618d182dfa4863a13a5f69759,5927,SODA-A seed2,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed2/radial_full_evaluator.csv,radial evaluator source,validated_input,7629c578bda190157159c09b6fd40e6c6de23006f27392aef5c3f264e52bb025,4154,SODA-A seed2,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed2/matched_phase.jsonl,matched phase source,validated_input,01d1fe4614a19dc22bf28cd7356c2e77fae0b8f02f5249567ad2e12c0a8ab057,508201764,SODA-A seed2,forward preregistration only
top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__SODA-A__seed2/epoch_12.pth,frozen K2 checkpoint,validated_input,5a4e0b71d79ca33bc82abee4ba962fd0420338626869a8838fe52b2e2bc9180f,305154466,SODA-A seed2,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed2/actual_head_loss_network_space_manifest.json,network-coordinate actual-head supplement manifest,validated_input,6ac41495c587022a466dbbd2e719901561bd670cc2cc6d15c47de201d0bba0d0,2172,SODA-A seed2,targeted actual-head supplement only
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed2/actual_head_loss_network_space.csv,network-coordinate actual-head supplement summary,validated_input,8d50546a7fd089334787dbb24133c63e071d9dd2861124da47b6a93e6f77d3d2,1491,SODA-A seed2,targeted actual-head supplement only
top_journal_v3_reaudit_055/logs/m069/psc_phase1_actual_loss/SODA-A_seed2.log,network-coordinate actual-head supplement completion log,validated_input,73afc6f8e7c7fd39e882cf714170df7d46156ae222bdf1ff125365896dd477b1,1671,SODA-A seed2,targeted actual-head supplement only
outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/DIOR-R/seed0/manifest.json,frozen K2 native Phase1 endpoint manifest,validated_input,8f284209df9511d4c8128008c75dd34914b8e0575caa0b779833c8ffe493ad36,2002,DCL DIOR-R seed0,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/DIOR-R/seed0/matched_native.jsonl,frozen K2 native Phase1 matched endpoint,validated_input,c38eeee5ea319418fca49bf68683920190d66a7bd7863a3552a25fbb7ac1516f,38474588,DCL DIOR-R seed0,targeted identity-only native endpoint extraction
top_journal_v3_reaudit_055/logs/m069/psc_phase1_native_signals/DCL_DIOR-R_seed0.log,frozen K2 native Phase1 completion log,validated_input,fe19a6820de10340feff656eacd9f9f124f361150197c5bb14d8080a16ec0f60,1106,DCL DIOR-R seed0,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/DIOR-R/seed1/manifest.json,frozen K2 native Phase1 endpoint manifest,validated_input,df75fdab1a0d0363a894b24086bd58d0e3401174097c9602b0e8b66ef04ffb1f,2002,DCL DIOR-R seed1,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/DIOR-R/seed1/matched_native.jsonl,frozen K2 native Phase1 matched endpoint,validated_input,66b2aad16b183f8dc51873ceb3d46e92d9f84c72930f3c4080f1136eee6c1852,39551894,DCL DIOR-R seed1,targeted identity-only native endpoint extraction
top_journal_v3_reaudit_055/logs/m069/psc_phase1_native_signals/DCL_DIOR-R_seed1.log,frozen K2 native Phase1 completion log,validated_input,f23512753a4d0d212b6c7d84a1edc6d937be16422da6809ad6414aace7039bb3,1106,DCL DIOR-R seed1,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/DIOR-R/seed2/manifest.json,frozen K2 native Phase1 endpoint manifest,validated_input,7c6d5cefea4d6370a8e9fc171d42d9b69c0d000998a3f277d64c8a3e76917d7a,2002,DCL DIOR-R seed2,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/DIOR-R/seed2/matched_native.jsonl,frozen K2 native Phase1 matched endpoint,validated_input,04609eb1b9216db7a88323ef3ddf83012fd2c80647ec53b3e7958a51f345d743,39355341,DCL DIOR-R seed2,targeted identity-only native endpoint extraction
top_journal_v3_reaudit_055/logs/m069/psc_phase1_native_signals/DCL_DIOR-R_seed2.log,frozen K2 native Phase1 completion log,validated_input,7a5cd5bd76af52e3c198a89d8aa5b1982ef4d7a4ac425ecbcb7bed738ae3ebc8,1105,DCL DIOR-R seed2,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/SODA-A/seed0/manifest.json,frozen K2 native Phase1 endpoint manifest,validated_input,6842a92fd63387088a53248bd7676164935c2084cf03c5d56e8c7621c2ba59a4,2010,DCL SODA-A seed0,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/SODA-A/seed0/matched_native.jsonl,frozen K2 native Phase1 matched endpoint,validated_input,7614e0a664167a6f818d66948095d48985cc00eb4a93a068fe6cd4aaedb800b8,165635827,DCL SODA-A seed0,targeted identity-only native endpoint extraction
top_journal_v3_reaudit_055/logs/m069/psc_phase1_native_signals/DCL_SODA-A_seed0.log,frozen K2 native Phase1 completion log,validated_input,d23041d9762f85f0465b8890ce984436866c03a31c832c21ac44aa6c8f70131c,2090,DCL SODA-A seed0,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/SODA-A/seed1/manifest.json,frozen K2 native Phase1 endpoint manifest,validated_input,75496c84e3e36d7543f6f04421160297fb0122b926403bef2e25ba48381d8952,2010,DCL SODA-A seed1,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/SODA-A/seed1/matched_native.jsonl,frozen K2 native Phase1 matched endpoint,validated_input,541ef4a3a72f5cf7e538d9fec7a17801ac9359e77e3a59a776b14fe5280e6ae7,164963147,DCL SODA-A seed1,targeted identity-only native endpoint extraction
top_journal_v3_reaudit_055/logs/m069/psc_phase1_native_signals/DCL_SODA-A_seed1.log,frozen K2 native Phase1 completion log,validated_input,daaf8f365c7f7b00fb82b681a6e807d9285c0e6ba9e7b57bed9f99d08a9e4da1,2091,DCL SODA-A seed1,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/SODA-A/seed2/manifest.json,frozen K2 native Phase1 endpoint manifest,validated_input,f1cfaaaf9c2f4885cf3b8c84fb3018d8cd8cba00758cc467983805e98c432391,2010,DCL SODA-A seed2,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/DCL/SODA-A/seed2/matched_native.jsonl,frozen K2 native Phase1 matched endpoint,validated_input,b2dbd6fcdef937e0f70727224130813f9fca3b56d7f4cc5aac22038d72ebdda1,165112597,DCL SODA-A seed2,targeted identity-only native endpoint extraction
top_journal_v3_reaudit_055/logs/m069/psc_phase1_native_signals/DCL_SODA-A_seed2.log,frozen K2 native Phase1 completion log,validated_input,77139c6659c5624a00477ede6d0bb371cdc1391f173c6e1868ac36dadbef3e87,2091,DCL SODA-A seed2,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/DIOR-R/seed0/manifest.json,frozen K2 native Phase1 endpoint manifest,validated_input,55e417a0226e4d1eae64a43242e5c6f125ec114794b31751f8ba256d0fc18e51,2002,CSL DIOR-R seed0,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/DIOR-R/seed0/matched_native.jsonl,frozen K2 native Phase1 matched endpoint,validated_input,0357323f9485db752821829d51e356d6541ec35c36fb10bc76c4755c46b60a3d,27696218,CSL DIOR-R seed0,targeted identity-only native endpoint extraction
top_journal_v3_reaudit_055/logs/m069/psc_phase1_native_signals/CSL_DIOR-R_seed0.log,frozen K2 native Phase1 completion log,validated_input,d0f01a26854b6e088eddfd604e8a02869ded20063b73b2be8a9d749439fc619d,1105,CSL DIOR-R seed0,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/DIOR-R/seed1/manifest.json,frozen K2 native Phase1 endpoint manifest,validated_input,8a8fe6df4c6d12003bf36d33fe5d0402cbd9114b28c7ca721b42f2753752f72b,2003,CSL DIOR-R seed1,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/DIOR-R/seed1/matched_native.jsonl,frozen K2 native Phase1 matched endpoint,validated_input,18cd78ecba1739310b119c95b09d174ea2100e5520dfac4e07f2dc584cf3ce2a,25939214,CSL DIOR-R seed1,targeted identity-only native endpoint extraction
top_journal_v3_reaudit_055/logs/m069/psc_phase1_native_signals/CSL_DIOR-R_seed1.log,frozen K2 native Phase1 completion log,validated_input,f669fd6f7851e61d13903ebb62070f089a282309dcb2d6ccc2177ab2043fd491,1105,CSL DIOR-R seed1,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/DIOR-R/seed2/manifest.json,frozen K2 native Phase1 endpoint manifest,validated_input,fbd389d685d0cb1a12ec840a23ab1290e642c853bf9af1945a45051131f9620d,2003,CSL DIOR-R seed2,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/DIOR-R/seed2/matched_native.jsonl,frozen K2 native Phase1 matched endpoint,validated_input,004c93664bf4b9a4516197c19c8d15dfc3fe9c882dc3125b93eea89be4c79170,27220843,CSL DIOR-R seed2,targeted identity-only native endpoint extraction
top_journal_v3_reaudit_055/logs/m069/psc_phase1_native_signals/CSL_DIOR-R_seed2.log,frozen K2 native Phase1 completion log,validated_input,8f1064b51cd93810dd8312d52f31b622c7ec6ac52be9b7e4ea2e8a1a4d2aa15a,1106,CSL DIOR-R seed2,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/SODA-A/seed0/manifest.json,frozen K2 native Phase1 endpoint manifest,validated_input,31fdafb2493bd6b82d8733bc5c2efb195808364e7e2a4b397cd489c0d3150bfe,2010,CSL SODA-A seed0,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/SODA-A/seed0/matched_native.jsonl,frozen K2 native Phase1 matched endpoint,validated_input,134dbc3e85deb24fc94f7707ecadaabfdf16ca2c493527d0878fb44111c59aea,60225510,CSL SODA-A seed0,targeted identity-only native endpoint extraction
top_journal_v3_reaudit_055/logs/m069/psc_phase1_native_signals/CSL_SODA-A_seed0.log,frozen K2 native Phase1 completion log,validated_input,2b0d71ebde5a5fc9f60990c1794b4ff6719160966b16aecfee10d7960ea1f5d3,2074,CSL SODA-A seed0,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/SODA-A/seed1/manifest.json,frozen K2 native Phase1 endpoint manifest,validated_input,5c2b1fe950692dc5a5d111d42808fea24e08a0203e56cf5edf924b4e0f09490f,2010,CSL SODA-A seed1,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/SODA-A/seed1/matched_native.jsonl,frozen K2 native Phase1 matched endpoint,validated_input,f36472cfd63c88a74a30719805b3478fcb989c2b5aaa846065721db4c28a27f9,68227979,CSL SODA-A seed1,targeted identity-only native endpoint extraction
top_journal_v3_reaudit_055/logs/m069/psc_phase1_native_signals/CSL_SODA-A_seed1.log,frozen K2 native Phase1 completion log,validated_input,cd9fb3afdeb535dccc93e8b9ff1c21824a33ca89a33959ee2fd41a9e7933b283,2076,CSL SODA-A seed1,targeted identity-only native endpoint extraction
outputs/persistent_artifacts/m069_psc_phase1/native_signals/CSL/SODA-A/seed2/manifest.json,frozen K2 native Phase1 endpoint manifest,validated_input,9cd9b24511aebf9b9b789dc193fd4c1f32f1349dce6cafb4c8eedc37dd701ab2,2010,CSL SODA-A seed2,targeted identity-only native endpoint extraction
