claim_id,source_section,source_line,source_text,source_text_sha256,claim_class,datasets,units,estimand,evidence_paths,evidence_status,action,target_section,target_text,target_text_sha256,reason
R008-C0011,1 引言,23,5. 将有限样本认证改写为严格统计审计：固定 eligible scenes，显式处理 abstained scenes，并按图像、切片和母景比较有效样本量。完整前沿揭示了严格预算下现有可部署分数的广泛不可行性。,84faba0c2eab645a60444f61256f09efb9328d6023ec1b392c60b923fbbace9c,certification_audit,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",QUALIFIED,QUALIFY,1 引言,5. 将有限样本认证改写为严格统计审计：固定 eligible scenes，显式处理 abstained scenes，并按图像、切片和母景比较有效样本量。完整前沿揭示了严格预算下现有可部署分数的广泛不可行性。,84faba0c2eab645a60444f61256f09efb9328d6023ec1b392c60b923fbbace9c,保留可追溯测量主张；认证相关内容仅作审计/边界限定。
R008-C0012,1 引言,24,6. 通过两名真人标注者的双标、标注者与 official GT 的差异以及未完成的第三人仲裁边界，限定度级风险的科学解释。,8ee03ee7b323672ddd949ab313d3e1adfa901369c4b9fe5dd39893dfeed4c7bf,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,1 引言,6. 通过两名真人标注者的双标、标注者与 official GT 的差异以及未完成的第三人仲裁边界，限定度级风险的科学解释。,8ee03ee7b323672ddd949ab313d3e1adfa901369c4b9fe5dd39893dfeed4c7bf,与 orientation-specific measurement 证据一致。
R008-C0013,1 引言,25,7. 提供包含角度规范、几何阈值、排序度量、场景级风险和显式 `INFEASIBLE` 输出的测量工具箱。,e66edb10fe97bb4126f3e05ce57478b9af253924b32cad5fd19630357ddce216,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,1 引言,7. 提供包含角度规范、几何阈值、排序度量、场景级风险和显式 `INFEASIBLE` 输出的测量工具箱。,e66edb10fe97bb4126f3e05ce57478b9af253924b32cad5fd19630357ddce216,与 orientation-specific measurement 证据一致。
R008-C0014,2 相关工作,29,## 2 相关工作,7d6df5dd039c822260701c618ca4edb5e3e08a20dac52b873ca5e76b9a3b6793,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,2 相关工作,## 2 相关工作,7d6df5dd039c822260701c618ca4edb5e3e08a20dac52b873ca5e76b9a3b6793,与 orientation-specific measurement 证据一致。
R008-C0015,2.1 旋转目标检测、周期性与几何损失,31,### 2.1 旋转目标检测、周期性与几何损失,37e854880da9809f85556987359ff6628f5b30d98a7c2a7377e2e42238c41c16,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,2.1 旋转目标检测、周期性与几何损失,### 2.1 旋转目标检测、周期性与几何损失,37e854880da9809f85556987359ff6628f5b30d98a7c2a7377e2e42238c41c16,与 orientation-specific measurement 证据一致。
R008-C0016,2.1 旋转目标检测、周期性与几何损失,33,"DOTA、FAIR1M、DIOR 和 SODA-A 提供了复杂遥感场景中的旋转检测基准 [1--4]。Oriented R-CNN 以中间表示和候选框机制构造高效旋转检测器 [5]，RTMDet 系列系统研究了实时检测器设计 [6]。旋转框的角度边界不连续和近方形退化推动了 Circular Smooth Label（CSL）、Dense Coded Label（DCL）和 Phase-Shifting Coder（PSC）等角度表示 [7--9]。Gaussian Wasserstein Distance（GWD）与 Kullback--Leibler divergence（KLD）从分布距离角度缓解旋转框回归的不连续性 [10,11]。ARS-DETR进一步讨论了长宽比与 AP@0.5 的朝向敏感性 [12]。这些方法主要优化检测器；本文研究既有输出的朝向风险如何被定义、排序和审计。",eef86419dbdb8c01a92dabdd77545b441fe2c6629f38a3cc045b14933f11bd1c,measurement_numeric,"[""FAIR1M"", ""SODA-A"", ""DOTA""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,2.1 旋转目标检测、周期性与几何损失,"DOTA、FAIR1M、DIOR 和 SODA-A 提供了复杂遥感场景中的旋转检测基准 [1--4]。Oriented R-CNN 以中间表示和候选框机制构造高效旋转检测器 [5]，RTMDet 系列系统研究了实时检测器设计 [6]。旋转框的角度边界不连续和近方形退化推动了 Circular Smooth Label（CSL）、Dense Coded Label（DCL）和 Phase-Shifting Coder（PSC）等角度表示 [7--9]。Gaussian Wasserstein Distance（GWD）与 Kullback--Leibler divergence（KLD）从分布距离角度缓解旋转框回归的不连续性 [10,11]。ARS-DETR进一步讨论了长宽比与 AP@0.5 的朝向敏感性 [12]。这些方法主要优化检测器；本文研究既有输出的朝向风险如何被定义、排序和审计。",eef86419dbdb8c01a92dabdd77545b441fe2c6629f38a3cc045b14933f11bd1c,与 orientation-specific measurement 证据一致。
R008-C0017,2.2 选择性预测、风险—覆盖与校准,35,### 2.2 选择性预测、风险—覆盖与校准,9b8c2770b23e10a5a122b70d204f438cbf37dbc52c7e2a91baa42024e2683684,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,2.2 选择性预测、风险—覆盖与校准,### 2.2 选择性预测、风险—覆盖与校准,9b8c2770b23e10a5a122b70d204f438cbf37dbc52c7e2a91baa42024e2683684,与 orientation-specific measurement 证据一致。
R008-C0018,2.2 选择性预测、风险—覆盖与校准,37,"选择性分类研究模型在拒绝部分样本后风险如何随覆盖率变化 [13--15]。风险—覆盖曲线适合评价“分数能否把低风险样本排在前面”，与概率校准并不相同。神经网络校准和目标检测校准关注预测概率与经验正确率的匹配 [16,17]；检测期望校准误差（D-ECE）进一步考虑框、类别和置信度的联合结构 [17]。本文的 NRC 是排序度量：NRC 小于 1 只能说明 informative 或 non-reversed ranking，不能推出概率 calibrated。",c40142d62f857812f57e45867acb869f383101fdbabcec1ddbba542173df72d3,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,2.2 选择性预测、风险—覆盖与校准,"选择性分类研究模型在拒绝部分样本后风险如何随覆盖率变化 [13--15]。风险—覆盖曲线适合评价“分数能否把低风险样本排在前面”，与概率校准并不相同。神经网络校准和目标检测校准关注预测概率与经验正确率的匹配 [16,17]；检测期望校准误差（D-ECE）进一步考虑框、类别和置信度的联合结构 [17]。本文的 NRC 是排序度量：NRC 小于 1 只能说明 informative 或 non-reversed ranking，不能推出概率 calibrated。",c40142d62f857812f57e45867acb869f383101fdbabcec1ddbba542173df72d3,与 orientation-specific measurement 证据一致。
R008-C0019,2.3 保形推断与风险控制,39,### 2.3 保形推断与风险控制,f620f810b97d89dec606b48ffad2a18f42bdc82f42f8daddd7a45d06ee1cafdf,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,2.3 保形推断与风险控制,### 2.3 保形推断与风险控制,f620f810b97d89dec606b48ffad2a18f42bdc82f42f8daddd7a45d06ee1cafdf,与 orientation-specific measurement 证据一致。
R008-C0020,2.3 保形推断与风险控制,41,保形预测利用可交换性构造有限样本覆盖 [18]。Risk-Controlling Prediction Sets、Learn-Then-Test（LTT）和 Conformal Risk Control 将其扩展到一般风险函数及候选超参数选择 [19--21]；相关研究也将保形思想用于目标检测中的框覆盖和错误控制 [22]。这些理论并不自动解决统计单位的选择。如果同一图像或母景中的实例强相关，instance-i.i.d. 分析会高估有效样本量。本文将这些方法作为认证可行性审计，并完整保留严格预算下的不可行结果。,7a0e90101a630d4a89872696651fd4ff0657a04e1dba2f35a5bac598a7c5478c,certification_audit,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",QUALIFIED,QUALIFY,2.3 保形推断与风险控制,保形预测利用可交换性构造有限样本覆盖 [18]。Risk-Controlling Prediction Sets、Learn-Then-Test（LTT）和 Conformal Risk Control 将其扩展到一般风险函数及候选超参数选择 [19--21]；相关研究也将保形思想用于目标检测中的框覆盖和错误控制 [22]。这些理论并不自动解决统计单位的选择。如果同一图像或母景中的实例强相关，instance-i.i.d. 分析会高估有效样本量。本文将这些方法作为认证可行性审计，并完整保留严格预算下的不可行结果。,7a0e90101a630d4a89872696651fd4ff0657a04e1dba2f35a5bac598a7c5478c,保留可追溯测量主张；认证相关内容仅作审计/边界限定。
R008-C0021,2.4 测试时不确定性与人工标注差异,43,### 2.4 测试时不确定性与人工标注差异,9c97f5edcc52c6b8e93ee5803f6f770ed5ccf0094575ed865c6a6a63d977bf5f,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,2.4 测试时不确定性与人工标注差异,### 2.4 测试时不确定性与人工标注差异,9c97f5edcc52c6b8e93ee5803f6f770ed5ccf0094575ed865c6a6a63d977bf5f,与 orientation-specific measurement 证据一致。
