claim_id,manuscript_section,line,text,text_sha256,claim_family,dataset,unit,estimand,result_row_keys,generator_script,input_manifest,gate,status,action,reason
R009-C011,1 引言,23,5. 比较图像、切片和母景统计单位，显式处理 abstained scenes，并将有限样本认证作为历史探索性审计而非本文证据。,5b86ed8ecf90685c676aafa7b7049fd7e626b3e0b48ae1be0f4ca8681f52eef1,historical certification quarantine,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C012,1 引言,24,6. 通过两名真人标注者的双标、标注者与 official GT 的差异以及未完成的第三人仲裁边界，限定度级风险的科学解释。,8ee03ee7b323672ddd949ab313d3e1adfa901369c4b9fe5dd39893dfeed4c7bf,human annotation boundary,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C013,1 引言,25,7. 提供包含角度规范、几何阈值、排序度量、场景级风险和显式 `INFEASIBLE` 输出的测量工具箱。,e66edb10fe97bb4126f3e05ce57478b9af253924b32cad5fd19630357ddce216,statistical-unit boundary,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C014,1 引言,27,不同原生角度信号对不同风险泛函可能呈现不同的排序语义。模型特定的角度编码机制与排序修复不属于本文范围。,c9ba9083886b9c11db07c3d07caadfa30dc9920a67569ee0227631248801921e,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C015,2.1 旋转目标检测、周期性与几何损失,31,### 2.1 旋转目标检测、周期性与几何损失,37e854880da9809f85556987359ff6628f5b30d98a7c2a7377e2e42238c41c16,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C016,2.1 旋转目标检测、周期性与几何损失,33,"DOTA、FAIR1M、DIOR 和 SODA-A 提供了复杂遥感场景中的旋转检测基准 [1--4]。Oriented R-CNN 以中间表示和候选框机制构造高效旋转检测器 [5]，RTMDet 系列系统研究了实时检测器设计 [6]。旋转框的角度边界不连续和近方形退化推动了 Circular Smooth Label（CSL）、Dense Coded Label（DCL）和 Phase-Shifting Coder（PSC）等角度表示 [7--9]。Gaussian Wasserstein Distance（GWD）与 Kullback--Leibler divergence（KLD）从分布距离角度缓解旋转框回归的不连续性 [10,11]。ARS-DETR进一步讨论了长宽比与 AP@0.5 的朝向敏感性 [12]。这些方法主要优化检测器；本文研究既有输出的朝向风险如何被定义、排序和审计。",eef86419dbdb8c01a92dabdd77545b441fe2c6629f38a3cc045b14933f11bd1c,full-evaluator AP,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C017,2.2 选择性预测、风险—覆盖与校准,35,### 2.2 选择性预测、风险—覆盖与校准,9b8c2770b23e10a5a122b70d204f438cbf37dbc52c7e2a91baa42024e2683684,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C018,2.2 选择性预测、风险—覆盖与校准,37,"选择性分类研究模型在拒绝部分样本后风险如何随覆盖率变化 [13--15]。风险—覆盖曲线适合评价“分数能否把低风险样本排在前面”，与概率校准并不相同。神经网络校准和目标检测校准关注预测概率与经验正确率的匹配 [16,17]；检测期望校准误差（D-ECE）进一步考虑框、类别和置信度的联合结构 [17]。本文的 NRC 是排序度量：NRC 小于 1 只能说明 informative 或 non-reversed ranking，不能推出概率 calibrated。",c40142d62f857812f57e45867acb869f383101fdbabcec1ddbba542173df72d3,NRC/AURC,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C019,2.3 保形推断与风险控制,39,### 2.3 保形推断与风险控制,f620f810b97d89dec606b48ffad2a18f42bdc82f42f8daddd7a45d06ee1cafdf,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C020,2.3 保形推断与风险控制,41,保形预测利用可交换性构造有限样本覆盖 [18]。Risk-Controlling Prediction Sets、Learn-Then-Test（LTT）和 Conformal Risk Control 将其扩展到一般风险函数及候选超参数选择 [19--21]；相关研究也将保形思想用于目标检测中的框覆盖和错误控制 [22]。这些理论并不自动解决统计单位的选择。如果同一图像或母景中的实例强相关，instance-i.i.d. 分析会高估有效样本量。本文将这些方法作为认证可行性审计，并完整保留严格预算下的不可行结果。,7a0e90101a630d4a89872696651fd4ff0657a04e1dba2f35a5bac598a7c5478c,historical certification quarantine,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C021,2.4 测试时不确定性与人工标注差异,43,### 2.4 测试时不确定性与人工标注差异,9c97f5edcc52c6b8e93ee5803f6f770ed5ccf0094575ed865c6a6a63d977bf5f,human annotation boundary,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C022,2.4 测试时不确定性与人工标注差异,45,"测试时增强可通过多次变换的一致性提供经验不确定性 [23]。对于 $180^\circ$ 周期的朝向，必须在 $\theta\mapsto2\theta$ 的圆域计算方差，而不能直接对角度做线性方差。另一方面，人工标签并非无噪声常数；标注分歧、任务歧义和聚合规则会改变可解释的风险下限 [24,25]。本文分别报告 inter-annotator disagreement、annotator-vs-official-GT discrepancy 和几何 proxy，不将其中任何一个直接解释为真实 GT error。",df0dc3fdfffa4505bafad80d907d2eec16378841fb6fc81e6e8fb7f21b6c9bfd,human annotation boundary,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C023,3.1 le90 长边朝向与周期误差,49,### 3.1 le90 长边朝向与周期误差,ef4e79a7f6e524ceb4cbeefcadf213289f8c5e0ecdede88e01a8b9a07c151049,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C024,3.1 le90 长边朝向与周期误差,59,"其中 $d=|\hat\phi-\phi|\bmod180^\circ$，故 $e_\theta\in[0^\circ,90^\circ]$。该量描述几何长边方向，不判断物体头尾或语义航向。",499c243f1b6904016543d1c0af7d7ea9fea2f2d9efa0f8daff064b162ed10fee,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C025,3.2 长宽比与可辨识区域,69,当 $a\to1$ 时，长轴方向趋于不可辨识，角度变化对旋转矩形几何的影响也减弱。本文正文唯一主口径为 `ar>=2.1`，并排除预测框或参考框处于近方形不稳定区的实例。`ar>=1.6` 和 `ar>=1.3` 仅用于敏感性检查，不用于替代主结果。,a0870d926a57075362020961f575c6980e1c8998dff87dc0185c2dff842e0078,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C026,3.3 可靠性分数与风险对象,71,### 3.3 可靠性分数与风险对象,ab76f8cf99a0b48830295283745bfc7a7eb5461ab3e3f9f9cfccac5d1124b1aa,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C027,3.3 可靠性分数与风险对象,73,"对实例 $i$，可靠性分数 $s_i$ 越大表示越可信，风险 $\ell_i$ 越小越好。风险既可以是连续角误差 $e_{\theta,i}$，也可以是固定阈值或几何归一化二元事件。同一分数对不同风险泛函的排序含义可能不同，因此任何“可靠/不可靠”结论都必须绑定明确的 score-endpoint unit。",99b3989eb8af5b9cd8dfb08aa48b185058a3a1e32a2ab7714922dd145c3053f7,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C028,4 几何可辨识性与归一化风险,75,## 4 几何可辨识性与归一化风险,3106446b98c1c5127839e611cdff5e69dbc9dd9ea9dfb48377de1b9937856fb2,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C029,4.1 理想几何容忍角,77,### 4.1 理想几何容忍角,796e0195b7fe2279dd8a13c1c23d0ac9f44136ec77c34fcfd4f5d2cda039e5e6,empirical-vs-ideal geometry,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C030,4.1 理想几何容忍角,86,数值求解遵循 le90 第一叶，角度精度为 $0.001^\circ$。$a$ 越大，$\delta_\tau(a)$ 通常越小；$\tau=0.75$ 比 $\tau=0.50$ 更早响应角度变化。以“15° 误差应在 IoU 0.75 下产生明确几何后果”为原则，反解交叉点约为 $a=2.1$，由此得到正文主口径。,1fed5cf0ab6ff7483cea99f45d91eb562c285578f44ade6e578fc54a233811e9,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C031,4.2 主风险事件与固定角度敏感性,90,### 4.2 主风险事件与固定角度敏感性,1dfebebbf7f3d7eb98a10104bddda468cbbf65b8fdd6afb9c9c2e770c3656273,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C032,4.2 主风险事件与固定角度敏感性,99,该定义对细长目标使用更严格的角度容差，对较低长宽比目标使用更宽的容差。它描述“在理想共中心同尺度模型下超出 IoU 0.75 几何容忍度”，不等价于真实检测框必然跌破 IoU 0.75。,48feefd6d21625071d1e5fbb399a6f4b2a55652675fc543a45c8b3b0e1f44c06,empirical-vs-ideal geometry,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C033,4.2 主风险事件与固定角度敏感性,107,5° 用于 fine-risk，但对标注不确定性敏感；10° 和 15° 提供更清晰的严重误差解释。,504e4690a027b077b9778b4f055e0441422fa9c29c7af1877a2e6ad9a94986da,human annotation boundary,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C034,5 朝向可靠性测量协议,109,## 5 朝向可靠性测量协议,727d848867bd8a091ab7dc4ccd303b34ccb9d39219354be705ffbfd06d55e84e,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C035,5.1 风险—覆盖曲线与 AURC,111,### 5.1 风险—覆盖曲线与 AURC,d5bb420029dafd9c84109f021af19f270308a5009f3dfa62e6a83885efd316de,NRC/AURC,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
