file,line,text,recommended_term,status
docs/074_orientation_reliability_AB_split_full_report.md,333,六个 detection-score families 与三个风险预算形成 18 个 primary families，均获得非退化选择。表中每个单元在三个预算下选择相同的最高候选覆盖，故按单元合并报告。,score-endpoint unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/nonpsc_deployable_leave_star_047.md,11,| held-out | target | family | score+ar+size lin | geometry | **source-sup** | standalone proxy(GT-free) | beat size-lin |,score-endpoint unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/nonpsc_deployable_leave_star_047.md,27,- ≥2 非 PSC family 成立：**ORCNN + LSKNet** ✅,detector-head unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/nonpsc_deployable_leave_star_047.md,29,- 失败 cell 完整报告：**RTMDet #61**（leave-detector，src 0.699 未及 size-linear 0.659；geometry-only 0.781 更差 → RTMDet/DIOR 的 geometry-reliability 关系不同，单一 family 失败）✅,evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/nonpsc_deployable_leave_star_047.md,34,- source-supervised + target GT-free inference 在 **2 非 PSC family × 3 dataset** 上多数 beat size-linear。,detector-head unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/nonpsc_deployable_leave_star_047.md,35,- **诚实边界**：① 口径为 source-supervised（非 fully GT-free）；② **leave-dataset SODA-held-out + DIOR-held-out folds 因大 SODA cell（304k/254k）bootstrap 计算过重，进程被 kill = compute-cost limitation，已报告未跳过**（next-step：降 bootstrap/分批）；③ RTMDet 单 family 失败。,evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/scientific_validity_audit.md,25,"| partial(NRC, mAP \| family) | 0.157 |",evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/scientific_validity_audit.md,26,"| **partial(NRC, mAP \| dataset+family)** | **-0.005** |",evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/scientific_validity_audit.md,30,**结论**：NRC 与 mAP **基本独立**（Spearman≈0；控 dataset+family 偏相关≈0）。NRC **不是 mAP 换皮**，提供独立于 accuracy 的可靠性信息。NRC 与 median orientation error 中度相关（0.40，符合预期：NRC 部分反映朝向误差但非全部）。→ **P1 顶刊叙事保留/增强**。,evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/scientific_validity_audit.md,61,- 要点：PSC 在 **DOTA/FAIR1M/SODA NRC>1**（唯一系统性反校准 family）；DOTA/SODA 上 **mAP 不弱但 selection 反校准**。,detector-head unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/scientific_validity_audit.md,84,1. **NRC 构造效度成立**：NRC ⟂ mAP（Spearman≈0，控 dataset+family 偏相关≈0）→ 提供 accuracy 看不到的可靠性维度。,evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/orientbench_p1_chinese_paper_draft.md,56,"| partial(NRC,mAP \| dataset+family) | -0.005（df=7） | [-1, 1]（退化，under-powered） |",evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/orientbench_p1_chinese_paper_draft.md,60,"**措辞（最终）**：在当前 23-cell 异质矩阵上，**未检测到 NRC 与 mAP 的显著相关**；NRC 提供了**不同于 accuracy 的 reliability signal**。受 n=23 限制且控制 dataset+family 后自由度仅 7（偏相关估计 under-powered），**不主张 NRC 完全独立于 mAP**。NRC 与朝向中位误差中度相关（0.40），符合""部分反映朝向误差""。最强单点反例为 PSC（见 §7）。",detector-head unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/orientbench_p1_chinese_paper_draft.md,84,- **发现（克制）**：以 detection-score 作 selection 时，**PSC 在 FAIR1M、SODA 上反校准且 bootstrap 显著**（CI 下界>1），是同数据集唯一 NRC>1 的 family；DOTA 掩码后为 0.84（**不显著**，此前 unmasked 的 1.06 为 near-square 驱动）；DIOR 不反校准。,score-endpoint unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/orientbench_p1_chinese_paper_draft.md,85,- **只能说**：detection-score 作 orientation selection 时在 PSC family（2/4 数据集显著）反校准（Track B）。**不能说** PSC angle head 本身反校准——需 Track A intrinsic 或 angle-head control。,score-endpoint unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/orientbench_p1_chinese_paper_draft.md,122,OrientBench 的贡献在于**揭示 accuracy 之外的朝向可靠性问题**：NRC 提供了与 mAP 未检出显著相关的可靠性信号；朝向可靠性随 aspect-ratio 退化呈现断崖；detection-score 作 selection 在 PSC family（FAIR1M/SODA 显著）反校准。当前证据支持本工作作为**基准与诊断**继续推进；机制性方法主张（PSC angle-head 反校准、reliability-aware 方法线）仍需后续门控实验确认。,score-endpoint unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/orientbench_p1_chinese_paper_draft.md,170,**图 3 — PSC family NRC bar + bootstrap CI**,detector-head unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/orientbench_p1_chinese_paper_draft.md,173,"- 主要读数：FAIR1M PSC 1.08 CI[1.03,1.13]、SODA PSC 1.26 CI[1.24,1.28] 显著>1；DOTA PSC 0.84 不显著；对照 family 均<1。",detector-head unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/_superseded/collaborator_p1_one_page_summary.md,9,"- **NRC 提供 accuracy 独立的可靠性信号**：Spearman(NRC,mAP)=-0.05，控 dataset+family 偏相关≈0。可靠性≠精度，NRC 不是 mAP 换皮。",evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/_superseded/collaborator_p1_one_page_summary.md,17,- PSC angle-coder 在 **DOTA/FAIR1M/SODA NRC>1**（唯一系统性反校准 family），且 DOTA/SODA mAP 不弱时仍反校准 —— 一个 accuracy 看不见、跨数据集稳定的可靠性缺陷。机制候选：相位置信与角度回归质量不单调。,detector-head unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/_superseded/collaborator_p1_scientific_validity_packet.md,12,- 控 dataset+detector-family 偏相关 = **-0.005**（完全独立）。,evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/_superseded/collaborator_p1_scientific_validity_packet.md,22,- PSC 在 **DOTA(1.06) / FAIR1M(1.08) / SODA(1.26) NRC>1**（唯一系统性反校准 family；DIOR 0.55 例外）。,detector-head unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
top_journal_v3_reaudit_055/docs/k2_angle_coder_intervention_matrix.md,11,同 backbone、同训练数据、同 schedule family、同 augmentation policy、同 evaluator、同 masked ar 口径,evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
top_journal_v3_reaudit_055/docs/k2_angle_coder_intervention_matrix_frozen_067.md,11,同 backbone、同训练数据、同 schedule family、同 augmentation policy、同 evaluator、同 masked ar 口径,evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
top_journal_v3_reaudit_055/docs/pre_submission_s1s5_v1/cc_latest_report_v1.md,20,**6 个 full-val provenance-clean cell（3 detector family × 3 dataset）进主表 + 2 masked-only 附录（DIOR#10/SODA#11）+ DOTA#20 排除。** masked detection NRC 0.41–0.91（better-than-random / non-reversed ranking，不叫 calibrated）。,evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
top_journal_v3_reaudit_055/docs/pre_submission_s1s5_v1/s3_frozen_masked_recompute_all_clean_cells_v1.md,27,- 主表覆盖 **6 个 full-val provenance-clean cell（3 detector family × 3 dataset，PSC/ORCNN/RTMDet × DIOR/FAIR1M/SODA）**，全部 can_recompute。,detector-head unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
top_journal_v3_reaudit_055/docs/pre_submission_s1s5_v1/s1a_full_pipeline_perturbation_v1.md,22,> **6/6 cell（DIOR#22/#3/#61 + FAIR1M#24 + SODA#23/#4）ΔAP50=0.0000 且 FP@0.5 完全不变**，跨 3 detector family（PSC/ORCNN/RTMDet）× 3 dataset（DIOR/FAIR1M/SODA）。真实 baseline AP 复现早期分析量级（DIOR#22 0.6964、FAIR1M#24 0.3452、SODA#23 0.6119、SODA#4 0.7592），验证 evaluator 正确。**无 compute limitation。**,detector-head unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
top_journal_v3_reaudit_055/docs/pre_submission_s1s5_v1/s1_s5_final_decision_v1.md,21,**S3 clean-cell 宽度是否足够？** **6 个 full-val provenance-clean cell（3 family × 3 dataset）+ 2 附录（masked-only）+ DOTA#20 排除。** 足以支撑“协议在多 detector×dataset 一致”，不足以称全面 benchmark。,evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/074_orientation_reliability_AB_split_full_report.md,95,平均精度综合衡量旋转目标检测的分类、定位和排序，却不能单独回答预测角度是否可信。本文建立一套与检测架构解耦的朝向可靠性协议。首先，在六个完整验证单元上，仅旋转已匹配预测并保持其与对应真值的旋转 IoU 大于 0.5，随后用完整评测器重新匹配。六个单元的 AP@0.5 均保持不变，而 AP@0.75 显著下降，平均角度误差由 4.63°--9.09° 增至 34.42°--40.54°。其次，我们用共中心、同尺度全等矩形定义 $\delta_{0.75}(a)$，由 IoU=0.75 与 15° 容忍语义反解得到长宽比约 2.1，将 `ar>=2.1` 作为唯一主分析域，并定义形状归一化严重事件。再次，我们以 NRC、AURC、Risk@70/90 评价任意置信分数，并把完整图像作为可交换单位，对图像内保留预测的严重事件比例应用固定序列 Learn-Then-Test 和 Hoeffding--Bentkus 有界损失上界。六个 primary families 在三个风险预算下共获得 18 个非退化选择；审计集非空图像比例为 35.38%--62.54%，而实例独立反事实给出过于乐观的,score-endpoint unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/074_orientation_reliability_AB_split_full_report.md,245,以固定序列控制 family-wise error rate；遇到首个不能拒绝的候选即停止。审计图像完全不参与阈值选择。,evaluation unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
docs/074_orientation_reliability_AB_split_full_report.md,333,六个 detection-score families 与三个风险预算形成 18 个 primary families，均获得非退化选择。表中每个单元在三个预算下选择相同的最高候选覆盖，故按单元合并报告。,score-endpoint unit,REPLACE_BEFORE_NEXT_MANUSCRIPT
