source_kind,is_proxy,dataset,group_type,group_value,subset_definition,n_pairs,mean_circ_disagree_deg,median_circ_disagree_deg,p90_circ_disagree_deg,p95_circ_disagree_deg,P_gt5,P_gt10,status
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Dump Truck,matched_gt_class=Dump Truck,7,1.3221,1.3625,2.5775,2.7827,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Engineering Ship,matched_gt_class=Engineering Ship,1,4.0911,4.0911,4.0911,4.0911,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Excavator,matched_gt_class=Excavator,1,0.1849,0.1849,0.1849,0.1849,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Fishing Boat,matched_gt_class=Fishing Boat,2,1.4565,1.4565,1.7376,1.7727,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Football Field,matched_gt_class=Football Field,1,0.2049,0.2049,0.2049,0.2049,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Liquid Cargo Ship,matched_gt_class=Liquid Cargo Ship,1,0.1896,0.1896,0.1896,0.1896,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Motorboat,matched_gt_class=Motorboat,3,1.2748,0.418,2.7768,3.0716,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Passenger Ship,matched_gt_class=Passenger Ship,1,0.2468,0.2468,0.2468,0.2468,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Small Car,matched_gt_class=Small Car,54,2.3764,1.8792,5.1633,6.5604,0.12963,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Tennis Court,matched_gt_class=Tennis Court,3,1.0369,1.4471,1.6042,1.6238,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Tugboat,matched_gt_class=Tugboat,1,1.0877,1.0877,1.0877,1.0877,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Van,matched_gt_class=Van,55,2.4004,2.2397,4.4959,5.3627,0.072727,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,other-airplane,matched_gt_class=other-airplane,3,1.2073,1.2438,1.3579,1.3722,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,other-ship,matched_gt_class=other-ship,2,0.776,0.776,1.1308,1.1751,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,size,large,matched_gt_size_bin=large,7,1.0915,1.1425,2.1893,2.5302,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,size,medium,matched_gt_size_bin=medium,17,1.359,1.2438,2.4185,2.8033,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,size,small,matched_gt_size_bin=small,127,2.2335,1.9126,4.7193,5.5199,0.086614,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,ar_bin,1.6<=ar<2.1,matched_gt_ar_bin=1.6<=ar<2.1,47,2.2813,1.8079,4.7193,6.041,0.085106,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,ar_bin,ar<1.6,matched_gt_ar_bin=ar<1.6,16,1.7462,1.7189,3.3465,3.8225,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,ar_bin,ar>=2.1,matched_gt_ar_bin=ar>=2.1,88,2.0367,1.4505,4.2068,5.2894,0.079545,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,dataset,all,all independently double-labeled usable instances,143,3.0806,2.0226,5.0398,7.8946,0.104895,0.027972,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,ar_main,ar>=2.1,matched_GT_aspect_ratio>=2.1,109,3.0472,1.9412,4.4232,6.4862,0.082569,0.018349,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,class,airplane,matched_gt_class=airplane,6,15.4715,2.1419,43.5649,63.893,0.166667,0.166667,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,class,container,matched_gt_class=container,21,1.8306,1.8372,2.7476,3.2305,0.047619,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,class,large-vehicle,matched_gt_class=large-vehicle,2,2.1058,2.1058,3.3977,3.5592,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,class,ship,matched_gt_class=ship,16,2.8884,2.1739,6.5527,8.7608,0.125,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,class,small-vehicle,matched_gt_class=small-vehicle,96,2.6794,2.0441,5.1351,7.5594,0.114583,0.03125,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,class,swimming-pool,matched_gt_class=swimming-pool,2,0.8061,0.8061,0.9219,0.9364,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,size,medium,matched_gt_size_bin=medium,1,0.6614,0.6614,0.6614,0.6614,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,size,small,matched_gt_size_bin=small,142,3.0977,2.03,5.047,7.9204,0.105634,0.028169,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,ar_bin,1.6<=ar<2.1,matched_gt_ar_bin=1.6<=ar<2.1,28,3.4623,2.4353,9.0017,10.0697,0.214286,0.071429,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,ar_bin,ar<1.6,matched_gt_ar_bin=ar<1.6,6,1.9058,2.1419,2.8679,2.8882,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,SODA-A,ar_bin,ar>=2.1,matched_gt_ar_bin=ar>=2.1,109,3.0472,1.9412,4.4232,6.4862,0.082569,0.018349,COMPLETE
